,id,text,rating_directness_content,rater_id
0,t1_cpvxc6j_1,"&gt; Battery life and durability should be the focus of demand from consumers.
Gee, somebody should've told that to Steve Jobs when he came up with the iPhone. ""Hey Steve, your idea is shit because this phone is non-durable and its battery life sucks!"" The world wouldn't be saddled with this flimsy phone and its non-removeable battery, which you can only fix if you take it to a specialty retailer, and Apple wouldn't be a multi-billion dollar company.",Yes - Direct Content,amy
1,t1_cpvxc6j_1,"&gt; Battery life and durability should be the focus of demand from consumers.
Gee, somebody should've told that to Steve Jobs when he came up with the iPhone. ""Hey Steve, your idea is shit because this phone is non-durable and its battery life sucks!"" The world wouldn't be saddled with this flimsy phone and its non-removeable battery, which you can only fix if you take it to a specialty retailer, and Apple wouldn't be a multi-billion dollar company.",Yes - Direct Content,nikhil
2,t1_cpvxc6j_1,"&gt; Battery life and durability should be the focus of demand from consumers.
Gee, somebody should've told that to Steve Jobs when he came up with the iPhone. ""Hey Steve, your idea is shit because this phone is non-durable and its battery life sucks!"" The world wouldn't be saddled with this flimsy phone and its non-removeable battery, which you can only fix if you take it to a specialty retailer, and Apple wouldn't be a multi-billion dollar company.",No - Indirect Content,helena
3,d4hd9kk_1,"&gt; Intimidation isn't terrorism.
The post clearly references the FBI's definition of terrorism as the operative one for the discussion. Quoting it with my own emphasis: ""the unlawful use of force or violence against persons or property **to intimidate** or coerce a government, the civilian population, or any segment thereof, in furtherance of political or social objectives.""",Neutral - Content contains no opinion,amy
4,d4hd9kk_1,"&gt; Intimidation isn't terrorism.
The post clearly references the FBI's definition of terrorism as the operative one for the discussion. Quoting it with my own emphasis: ""the unlawful use of force or violence against persons or property **to intimidate** or coerce a government, the civilian population, or any segment thereof, in furtherance of political or social objectives.""",Yes - Direct Content,nikhil
5,d4hd9kk_1,"&gt; Intimidation isn't terrorism.
The post clearly references the FBI's definition of terrorism as the operative one for the discussion. Quoting it with my own emphasis: ""the unlawful use of force or violence against persons or property **to intimidate** or coerce a government, the civilian population, or any segment thereof, in furtherance of political or social objectives.""",Yes - Direct Content,helena
6,dzh0psx_2,"Although I appreciate your first two logical statements, (as I am a reasonable guy), your third comment is why I believe we need a higher emphasis on philosophy in our education system.",Yes - Direct Content,amy
7,dzh0psx_2,"Although I appreciate your first two logical statements, (as I am a reasonable guy), your third comment is why I believe we need a higher emphasis on philosophy in our education system.",Neutral - Content contains no opinion,nikhil
8,dzh0psx_2,"Although I appreciate your first two logical statements, (as I am a reasonable guy), your third comment is why I believe we need a higher emphasis on philosophy in our education system.",Yes - Direct Content,helena
9,e6d3cso_1,"Why do you think taking a real assault and changing the culprit is implausible?
I’m totally playing devil’s advocate and not accusing Mrs. Ford of everything, but the legal system is kind of *about* addressing potential alternative explanations.
We can say fairly confidently that Ford and Kavanaugh “moved in the same circles,” as I’ve heard a bunch of times. So ***if*** Ford is a very hardcore liberal (statistically, a psych professor is certainly more likely to be liberal than conservative, at the very least), and she finds a conservative up for nomination to the court. She doesn’t want him there, and he just happens to be someone she made acquaintance with however many decades ago.",Yes - Direct Content,amy
